match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
t20,AR Cusack,Ireland,180,136,9,132.35294117647058,Hong Kong
t20,AR Gandhi,Kenya,86,99,2,86.86868686868688,Uganda
t20,AR Leo,St Helena,63,83,5,75.90361445783132,Lesotho
t20,AR McBrine,Ireland,134,110,8,121.81818181818183,Hong Kong
t20,AR Menon,Singapore,2,5,1,40.0,Qatar
t20,AR Naidoo,Cayman Islands,260,320,12,81.25,United States of America
t20,AR Nair,Bahamas,1,3,1,33.33333333333333,Argentina
t20,AR Nurse,West Indies,85,78,2,108.97435897435896,England
t20,AR Odedara,Oman,28,36,4,77.77777777777779,Scotland
t20,AR Patel,India,523,400,28,130.75,England
t20,AR Patwa,Tanzania,1020,904,41,112.83185840707965,Uganda
t20,AR Perez Rivero,Argentina,9,10,1,90.0,Brazil
t20,AR Poulter,Fiji,2,8,0,25.0,Papua New Guinea
t20,AR Puri,Singapore,27,59,8,45.76271186440678,Qatar
t20,AR Ramjani,Uganda,631,496,26,127.21774193548387,Scotland
t20,AR Shetty,Oman,2,9,1,22.22222222222222,Scotland
t20,AR Valdez,Philippines,67,59,2,113.55932203389831,Vanuatu
t20,AR White,Ireland,95,92,6,103.26086956521738,Hong Kong
