match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
t20,BMAJ Mendis,15,2,207,186,18,6,10,111.29032258064515
t20,BMSM Kumari,25,2,84,145,7,0,16,57.931034482758626
t20,BN Cooper,49,3,1127,934,109,32,41,120.66381156316916
t20,BN Toube,15,2,244,255,35,4,15,95.68627450980392
t20,BO Shastri,3,1,12,27,0,0,4,44.44444444444444
t20,BOP Fernando,6,2,128,120,11,4,5,106.66666666666667
t20,BP Adapaka,4,2,2,4,0,0,1,50.0
t20,BR Dunk,5,2,99,70,8,6,5,141.42857142857144
t20,BR McDermott,23,2,342,347,17,13,19,98.55907780979827
t20,BRM Taylor,40,3,876,739,87,22,35,118.53856562922869
t20,BS Fulmali,2,2,23,33,2,0,2,69.6969696969697
t20,BS Sandhu,1,1,2,5,0,0,1,40.0
t20,BS Stephenson,11,2,164,145,11,9,9,113.10344827586208
t20,BTJ Wheal,5,2,18,19,1,0,1,94.73684210526315
t20,BV Save,2,1,16,17,3,0,2,94.11764705882352
t20,BV Sears,6,2,21,27,2,0,2,77.77777777777779
t20,BV Vitori,2,1,8,7,0,0,0,114.28571428571428
t20,BW Hilfenhaus,3,1,2,10,0,0,2,20.0
t20,BYA Mendis,36,2,442,493,60,4,35,89.65517241379311
t20,Babar Ali,3,2,9,20,0,0,3,45.0
t20,Babar Azam,119,2,4172,3319,443,73,104,125.70051220247063
t20,Babar Hayat,76,3,1880,1508,116,111,69,124.6684350132626
t20,Bakhtiar Tahiri,5,2,141,152,13,5,6,92.76315789473685
t20,Baljinder Singh,1,1,6,9,1,0,1,66.66666666666666
t20,Baljit Singh,6,2,58,54,3,2,5,107.40740740740742
t20,Baseer Khan,3,2,12,12,1,0,2,100.0
t20,Bashir Ahmad,1,1,5,4,1,0,1,125.0
t20,Bashir Shah,4,2,3,7,0,0,1,42.857142857142854
t20,Basil Hameed,43,2,701,561,35,37,30,124.9554367201426
t20,Basir Ahamad,2,1,110,78,10,4,1,141.02564102564102
t20,Basiru Jaye,1,1,6,4,1,0,1,150.0
t20,Batool Fatima,7,2,30,45,3,0,5,66.66666666666666
t20,Baz Aybui,3,2,8,25,0,0,1,32.0
t20,Bella Poon,12,2,82,136,9,0,10,60.29411764705882
