match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
odi,R McLaren,South Africa,485,696,25,69.68390804597702,Sri Lanka
odi,R Murray,Zimbabwe,108,180,4,60.0,India
odi,R Mutumbami,Zimbabwe,319,447,19,71.36465324384787,India
odi,R Ngarava,Zimbabwe,242,288,15,84.02777777777779,India
odi,R Ntozakhe,South Africa,8,30,4,26.666666666666668,Sri Lanka
odi,R Parag,India,15,13,1,115.38461538461537,Pakistan
odi,R Pasipanodya,Zimbabwe,24,72,1,33.33333333333333,India
odi,R Powell,West Indies,915,1054,43,86.81214421252372,England
odi,R Rampaul,West Indies,338,450,29,75.1111111111111,England
odi,R Ravindra,New Zealand,1201,1122,27,107.0409982174688,Bangladesh
odi,R Rijke,Netherlands,238,339,14,70.20648967551622,Zimbabwe
odi,R Sharma,India,1,2,1,50.0,Pakistan
odi,R Shepherd,West Indies,396,398,24,99.49748743718592,England
odi,R Slater,Scotland,90,103,1,87.37864077669903,Hong Kong
odi,R Stokell,Ireland,247,421,17,58.66983372921615,Bangladesh
odi,R Telemachus,South Africa,41,20,3,204.99999999999997,Sri Lanka
odi,R Trumpelmann,Namibia,483,609,29,79.3103448275862,Oman
odi,R Vinay Kumar,India,86,150,8,57.333333333333336,Pakistan
odi,R Walters,Namibia,0,6,2,0.0,Oman
odi,RA Jadeja,India,2781,3350,86,83.01492537313433,Pakistan
odi,RA Jones,New Zealand,96,187,4,51.33689839572193,Bangladesh
odi,RA Lewis,Ireland,2,13,2,15.384615384615385,Bangladesh
odi,RA Mair,New Zealand,33,50,5,66.0,Bangladesh
odi,RA Mariu,New Zealand,76,93,2,81.72043010752688,Bangladesh
odi,RA Reifer,West Indies,51,103,6,49.51456310679612,England
odi,RA Rolfe,Ireland,0,3,1,0.0,Bangladesh
odi,RAP Nissanka,Sri Lanka,31,86,3,36.04651162790697,Australia
odi,RAS Lakmal,Sri Lanka,229,408,22,56.127450980392155,Australia
odi,RC Irani,England,67,125,6,53.6,Bangladesh
odi,RD Berrington,Scotland,2470,3266,68,75.62767911818739,Hong Kong
odi,RD Chahar,India,13,26,1,50.0,Pakistan
odi,RD Gaikwad,India,115,159,6,72.32704402515722,Pakistan
odi,RD Jacobs,West Indies,142,225,8,63.11111111111111,England
odi,RD McCann,Ireland,23,57,2,40.35087719298245,Bangladesh
odi,RD Rickelton,South Africa,232,255,9,90.98039215686275,Sri Lanka
odi,RD Shah,Kenya,407,647,14,62.90571870170015,New Zealand
odi,RD Steede,Bermuda,15,22,2,68.18181818181817,Sri Lanka
odi,RDM Leverock,Bermuda,45,121,6,37.1900826446281,Sri Lanka
odi,RE van der Merwe,Netherlands,153,175,13,87.42857142857143,Zimbabwe
odi,RE van der Merwe,South Africa,39,41,5,95.1219512195122,Sri Lanka
odi,RG Aga,Kenya,114,122,5,93.44262295081968,New Zealand
odi,RG Sharma,India,10948,12067,224,90.72677550343913,Pakistan
odi,RH Candy,New Zealand,10,13,0,76.92307692307693,Bangladesh
odi,RH Priest,New Zealand,661,816,25,81.00490196078431,Bangladesh
odi,RH Scholte,Netherlands,8,31,2,25.806451612903224,Zimbabwe
odi,RJ Harris,Australia,48,48,6,100.0,Pakistan
odi,RJ Nicol,New Zealand,586,805,21,72.79503105590062,Bangladesh
odi,RJ Peterson,South Africa,523,636,27,82.23270440251572,Sri Lanka
odi,RJ Rolls,New Zealand,2,4,1,50.0,Bangladesh
odi,RJ Sidebottom,England,124,187,10,66.31016042780749,Bangladesh
odi,RJ Trott,Bermuda,95,194,3,48.96907216494845,Sri Lanka
odi,RJ van Vuuren,Namibia,26,38,3,68.42105263157895,Oman
odi,RJW Topley,England,20,66,4,30.303030303030305,Bangladesh
odi,RK Kleinveldt,South Africa,105,129,7,81.3953488372093,Sri Lanka
odi,RK Paudel,Nepal,1629,2224,55,73.24640287769785,Oman
odi,RK Singh,India,55,43,2,127.90697674418605,Pakistan
odi,RK Whelan,Ireland,5,12,2,41.66666666666667,Bangladesh
odi,RL Bhudia,Kenya,22,15,1,146.66666666666666,New Zealand
odi,RL Chase,West Indies,799,1071,31,74.60317460317461,England
odi,RL Grundy,England,1,6,1,16.666666666666664,Bangladesh
odi,RL Haynes,Australia,1966,2485,46,79.11468812877264,Pakistan
odi,RL Johnson,England,16,21,3,76.19047619047619,Bangladesh
odi,RL Powell,West Indies,570,626,23,91.05431309904152,England
odi,RM Farrell,Australia,92,156,3,58.97435897435898,Pakistan
odi,RM Ghosh,India,800,852,29,93.89671361502347,Pakistan
odi,RM Haq,Scotland,181,354,14,51.12994350282486,Hong Kong
odi,RM Jariwala,United States of America,30,53,4,56.60377358490566,Papua New Guinea
odi,RM Patidar,India,22,18,1,122.22222222222223,Pakistan
